Rank,Country,Resource measured,Composite,Institutional and legal setting,Reporting practices,Safeguards and quality controls,Enabling Environment
1,Norway,Hydrocarbons,98,100,97,98,98
2,United States (Gulf of Mexico),Hydrocarbons,92,88,97,89,90
3,United Kingdom,Hydrocarbons,88,79,91,83,93
4,Australia (Western Australia),Minerals ,85,88,87,65,96
5,Brazil,Hydrocarbons,80,81,78,96,66
6,Mexico,Hydrocarbons,77,84,82,81,53
7,Canada (Alberta),Hydrocarbons,76,67,72,74,96
8,Chile,Minerals,75,77,74,65,87
9,Colombia,Hydrocarbons,74,75,73,91,58
10,Trinidad and Tobago,Hydrocarbons,74,64,83,86,52
11,Peru,Minerals,73,88,83,56,55
12,India,Hydrocarbons,70,60,72,83,61
13,Timor-Leste,Hydrocarbons,68,77,82,70,28
14,Indonesia,Hydrocarbons,66,76,66,75,46
15,Ghana,Minerals,63,79,51,73,59
16,Liberia,Minerals,62,83,62,71,31
17,Zambia,Minerals,61,71,62,72,37
18,Ecuador,Hydrocarbons,58,70,64,65,28
19,Kazakhstan,Hydrocarbons,57,62,58,76,32
20,Venezuela,Hydrocarbons,56,57,69,67,18
21,South Africa,Minerals,56,69,31,75,72
22,Russia,Hydrocarbons,56,57,60,62,39
23,Philippines,Minerals,54,63,54,51,46
24,Bolivia,Hydrocarbons,53,80,47,63,32
25,Morocco,Minerals,53,48,60,56,42
26,Mongolia,Minerals,51,80,39,49,48
27,Tanzania,Minerals,50,44,48,68,42
28,Azerbaijan,Hydrocarbons,48,57,54,51,24
29,Iraq,Hydrocarbons,47,57,52,63,9
30,Botswana,Minerals,47,55,28,53,69
31,Bahrain,Hydrocarbons,47,38,40,59,58
32,Gabon,Hydrocarbons,46,60,51,39,28
33,Guinea,Minerals,46,86,45,43,11
34,Malaysia,Hydrocarbons,46,39,45,39,60
35,Sierra Leone,Minerals,46,52,47,59,24
36,China,Hydrocarbons,43,43,46,46,36
37,Yemen,Hydrocarbons,43,57,46,52,16
38,Egypt,Hydrocarbons,43,40,44,48,40
39,Papua New Guinea,Minerals,43,59,34,50,38
40,Nigeria,Hydrocarbons,42,66,38,53,18
41,Angola,Hydrocarbons,42,58,43,52,15
42,Kuwait,Hydrocarbons,41,28,43,36,57
43,Vietnam,Hydrocarbons,41,63,39,31,30
44,Congo (DRC),Minerals,39,56,45,42,6
45,Algeria,Hydrocarbons,38,57,41,28,26
46,Mozambique,Hydrocarbons,37,58,26,37,37
47,Cameroon,Hydrocarbons,34,63,33,25,17
48,Saudi Arabia,Hydrocarbons,34,30,35,31,38
49,Afghanistan,Minerals,33,63,29,38,8
50,South Sudan,Hydrocarbons,31,80,17,35,8
51,Zimbabwe,Minerals,31,48,23,56,6
52,Cambodia,Hydrocarbons,29,52,13,46,20
53,Iran,Hydrocarbons,28,26,33,26,23
54,Qatar,Hydrocarbons,26,15,14,20,66
55,Libya,Hydrocarbons,19,11,29,15,10
56,Equatorial Guinea,Hydrocarbons,13,27,14,4,4
57,Turkmenistan,Hydrocarbons,5,13,4,0,3
58,Myanmar,Hydrocarbons,4,8,5,2,2
